asset,strategy,period,cagr,max_dd,sharpe,n_trades,cum_return,buyhold_cum_return,beats_buyhold
XS2D,momentum,2020 (crash+recupero),0.15559181924417342,-0.13610131092365407,0.7979236351603327,9,0.1569188754796207,0.19302487612751928,False
XS2D,momentum,2021-2022 (bear),0.09343665414914959,-0.16433435696126808,0.5975844282743082,16,0.19517998993337682,0.007309290832483217,True
XS2D,momentum,2023-oggi,0.1369400833951031,-0.16192450372634182,0.81391000618927,57,0.6058249620798777,2.3456934355539882,False
XS2D,vol_target,2013-2015,0.10496045936316145,-0.12729633431527732,0.7009073417452242,642,0.35069174076277965,1.046302115734293,False
XS2D,vol_target,2016-2019,0.15987337773072707,-0.2161294882012108,1.0331158581946143,684,0.8130472140639056,1.5134607348153346,False
XS2D,vol_target,2020 (crash+recupero),0.06557408710321178,-0.21702220410753748,0.4520170324442733,241,0.0661113539000473,0.19302487612751928,False
XS2D,vol_target,2021-2022 (bear),0.018994814977395746,-0.22772043719307378,0.19601063302935812,475,0.038272902936016706,0.007309290832483217,True
XS2D,vol_target,2023-oggi,0.16407256986892604,-0.18720547229467943,1.015009968539018,895,0.751853658614887,2.3456934355539882,False
XS2D,sma_underlying_200,2013-2015,0.2334822993185095,-0.13557306329095586,1.136583813315573,18,0.8814110081030493,1.046302115734293,False
XS2D,sma_underlying_200,2016-2019,0.2110202786702684,-0.20322545539092784,1.0534158908998412,19,1.1557359281054405,1.5134607348153346,False
XS2D,sma_underlying_200,2020 (crash+recupero),0.41619429961909304,-0.19375986608799978,1.2344937153814393,11,0.4201107978033751,0.19302487612751928,True
XS2D,sma_underlying_200,2021-2022 (bear),0.22029372169534223,-0.15606232761947614,1.0129829501500347,14,0.4879407611140625,0.007309290832483217,True
XS2D,sma_underlying_200,2023-oggi,0.34285459538011165,-0.1725381540286337,1.4087325812886833,19,1.9681643064709067,2.3456934355539882,False
3USL,mean_reversion,2013-2015,0.2979730435937942,-0.29128807677432145,1.120410178159092,48,1.1935393021158451,1.6880288118903586,False
3USL,mean_reversion,2016-2019,0.0736371932430191,-0.27860135707182665,0.39446574348497687,54,0.3298343414343494,2.38954303246225,False
3USL,mean_reversion,2020 (crash+recupero),-0.2963467320325346,-0.6931163878145868,-0.2660884531989686,22,-0.2983067962687469,0.05741324297389139,False
3USL,mean_reversion,2021-2022 (bear),-0.09364842059555245,-0.6164838335893111,-0.005920644899941294,43,-0.17820622098322902,-0.12026105829974032,False
3USL,mean_reversion,2023-oggi,0.20895798133066168,-0.3803932398668335,0.7876149007745777,51,1.0143577152920495,3.6273238195222754,False
3USL,momentum,2013-2015,-0.10972884803353755,-0.47941393062431636,-0.5217705403340964,56,-0.2953621340788636,1.6880288118903586,False
3USL,momentum,2016-2019,0.0666272811470221,-0.44538880633650246,0.4206947808610693,53,0.29534136440784975,2.38954303246225,False
3USL,momentum,2020 (crash+recupero),0.16271582961025177,-0.1793465696285167,0.667098619907295,9,0.16410784710246484,0.05741324297389139,True
3USL,momentum,2021-2022 (bear),0.13738166136780117,-0.23168972651866038,0.6252394712556504,18,0.29297638544210924,-0.12026105829974032,True
3USL,momentum,2023-oggi,0.21302585122000073,-0.25163126321226603,0.9144556581708083,57,1.0394846740974364,3.6273238195222754,False
3USL,vol_target,2013-2015,0.05470526338261572,-0.1528229736790515,0.41691531584641767,691,0.17400165821772906,1.6880288118903586,False
3USL,vol_target,2016-2019,0.16452273230649817,-0.24154910269652508,0.9911960183998585,961,0.8423806283099664,2.38954303246225,False
3USL,vol_target,2020 (crash+recupero),0.03756531909527561,-0.23791118670571565,0.29445430691119934,254,0.03786903197343161,0.05741324297389139,False
3USL,vol_target,2021-2022 (bear),0.017124187498184007,-0.23246215721629415,0.1850236326347559,503,0.0344719099401094,-0.12026105829974032,True
3USL,vol_target,2023-oggi,0.14461341152392637,-0.20519838805049084,0.896387798920206,930,0.6461864265945252,3.6273238195222754,False
3USL,sma_underlying_200,2013-2015,0.15645878540719727,-0.18199516784128966,0.7083052944045686,18,0.5493232161586608,1.6880288118903586,False
3USL,sma_underlying_200,2016-2019,0.2972683497236055,-0.29547694471223895,1.0144331139847147,19,1.8409584558995795,2.38954303246225,False
3USL,sma_underlying_200,2020 (crash+recupero),0.6078881328079331,-0.27857286724011454,1.2144314385240311,11,0.6139600513810852,0.05741324297389139,True
3USL,sma_underlying_200,2021-2022 (bear),0.33454802125319305,-0.21749065575142734,1.0448813531207042,14,0.7789799501262451,-0.12026105829974032,True
3USL,sma_underlying_200,2023-oggi,0.47041755117557416,-0.2563155447824117,1.3023128342878565,19,3.148927396981863,3.6273238195222754,False
HFEA(QQQ3+3BUL),hfea,2013-2015,0.21965292121473157,-0.20105109434318158,0.8278397162149453,3,0.22446759787730608,3.1508784592089443,False
HFEA(QQQ3+3BUL),hfea,2016-2019,0.32695066726651967,-0.3682688955661937,1.143295857808038,6,2.0623611050086135,3.8301833451583445,False
HFEA(QQQ3+3BUL),hfea,2020 (crash+recupero),0.8312461158779256,-0.4361955531740901,1.4882864265254037,3,0.8268549692071037,1.2328815050865543,False
HFEA(QQQ3+3BUL),hfea,2021-2022 (bear),-0.32840295712538503,-0.6953164107750895,-0.7472537460293839,6,-0.5460982516311172,-0.6052387079854658,True
HFEA(QQQ3+3BUL),hfea,2023-oggi,0.4048421994474696,-0.397634403077359,1.1558997520439795,8,2.4590568644436592,7.456378681104267,False
HFEA(3USL+3BUL),hfea,2013-2015,0.08809163486062332,-0.204511354169452,0.4798590178295968,3,0.08991583167709538,1.6880288118903586,False
HFEA(3USL+3BUL),hfea,2016-2019,0.252284319230764,-0.27806777502094937,1.181339177158698,6,1.4352691043057497,2.38954303246225,False
HFEA(3USL+3BUL),hfea,2020 (crash+recupero),0.23705488354604887,-0.44329293940675707,0.7130212888192616,3,0.2360110267238864,0.05741324297389139,True
HFEA(3USL+3BUL),hfea,2021-2022 (bear),-0.17021079976828113,-0.5561274952176377,-0.3779178629278056,6,-0.3094076199670698,-0.12026105829974032,False
HFEA(3USL+3BUL),hfea,2023-oggi,0.2533024338796359,-0.3342232563296167,1.0239446815773336,8,1.280246486877879,3.6273238195222754,False
